,e_PH,e_T,e_M,E_PH,E_T,E_M,e_CH,E_CH,E_aggr
1,-1.51339918375015E-09,-1.51339918375015E-09,0,-1.37627699296054E-07,-1.37627699296054E-07,0,-435.347780215893,-39590.2905380774,-39590.290538215
2,303435.653285092,105911.697771191,197523.955513901,27594273.4041522,9631552.23638239,17962721.1677698,-435.347780215893,-39590.2905380774,27554683.1136141
3,453903.802978806,260741.85727573,193161.945703076,41277765.1636528,23711722.7974951,17566042.3661577,-435.347780215897,-39590.2905380777,41238174.8731147
4,1087480.18763994,907912.623719417,179567.563920526,100685527.107152,84060070.3584432,16625456.7487085,3995.29298898411,369908.514302571,101055435.621454
5,410375.095199521,403580.466065541,6794.62913397971,37995021.188829,37365933.1156595,629088.073169444,3995.29298898411,369908.514302571,38364929.7031316
6,234960.059224332,230694.947494208,4265.11173012361,21754030.722592,21359140.7488718,394889.973720215,3995.29298898411,369908.514302571,22123939.2368946
6p,71131.0145146281,68997.5940308055,2133.4204838226,6585741.7647438,6388216.72622237,197525.038521432,3995.29298898411,369908.514302571,6955650.27904637
7,26827.426130745,26827.4261307455,-4.25916368840263E-10,2483846.20851278,2483846.20851282,-3.94339267856569E-08,3995.29298898411,369908.514302571,2853754.72281536
8,1903.50584275894,-2.8619567160604E-08,1903.50584278756,26649.0817986251,-4.00673940248456E-07,26649.0817990258,2497.88124162238,34970.3373827134,61619.4191813385
8p,158042.326996437,156138.821153649,1903.50584278756,2212592.57795011,2185943.49615109,26649.0817990258,2497.88124162238,34970.3373827134,2247562.91533283
9,912878.25314055,910974.747297762,1903.50584278756,12780295.5439677,12753646.4621687,26649.0817990258,2497.88124162238,34970.3373827134,12815265.8813504
10,379051.873426371,-1.07029336504638E-09,379051.873426372,624155.518258245,-1.76236963007293E-09,624155.518258247,51384297.0055103,84610563.2928355,85234718.8110938
11,183558.791043264,181655.285200477,1903.50584278756,5324079.26161466,5268868.52545569,55210.7361589612,2497.88124162238,72450.4538350522,5396529.71544971
11p,548218.522091907,546315.016249119,1903.50584278756,15900948.3975879,15845737.6614289,55210.7361589612,2497.88124162238,72450.4538350522,15973398.8514229
